CIUDAD,LATITUD,LONGITUD
A Coruña,43.368942,'-8.398879
A Coruña,43.36895,'-8.390465
A Coruña,43.36895,'-8.39331
A Coruña,43.36895,'-8.394654
A Coruña,43.36895,'-8.394872
A Coruña,43.36895,'-8.399047
A Coruña,43.368954,'-8.393603
A Coruña,43.368958,'-8.392826
A Coruña,43.368958,'-8.392842
A Coruña,43.368958,'-8.392872
A Coruña,43.368958,'-8.3928795
A Coruña,43.36896,'-8.390475
A Coruña,43.36896,'-8.39277
A Coruña,43.36896,'-8.392777
A Coruña,43.36896,'-8.392782
A Coruña,43.36896,'-8.392797
A Coruña,43.36896,'-8.394877
A Coruña,43.368965,'-8.390478
A Coruña,43.368965,'-8.390479
A Coruña,43.368965,'-8.392719
A Coruña,43.368965,'-8.393273
A Coruña,43.368965,'-8.393573
A Coruña,43.368965,'-8.398945
A Coruña,43.368965,'-8.39902
A Coruña,43.368973,'-8.390487
A Coruña,43.368973,'-8.390488
A Coruña,43.36898,'-8.390492
A Coruña,43.36898,'-8.393236
A Coruña,43.36898,'-8.398984
A Coruña,43.368984,'-8.398985
A Coruña,43.36899,'-8.390503
A Coruña,43.36899,'-8.391897
A Coruña,43.36899,'-8.3919
A Coruña,43.368996,'-8.391904
A Coruña,43.368996,'-8.391908
A Coruña,43.368996,'-8.39191
A Coruña,43.369,'-8.390509
A Coruña,43.369003,'-8.391574
A Coruña,43.369003,'-8.392698
A Coruña,43.369003,'-8.39272
A Coruña,43.369007,'-8.3905115
A Coruña,43.369007,'-8.391579
A Coruña,43.369015,'-8.3905115
A Coruña,43.369015,'-8.391584
A Coruña,43.369015,'-8.392632
A Coruña,43.369015,'-8.392695
A Coruña,43.369015,'-8.392698
A Coruña,43.369015,'-8.39335
A Coruña,43.369015,'-8.393351
A Coruña,43.369015,'-8.393356
A Coruña,43.36902,'-8.391979
A Coruña,43.369022,'-8.392635
A Coruña,43.369022,'-8.392639
A Coruña,43.369022,'-8.392644
A Coruña,43.369026,'-8.392698
A Coruña,43.369026,'-8.392701
A Coruña,43.369026,'-8.392702
A Coruña,43.369026,'-8.393121
A Coruña,43.369026,'-8.39471
A Coruña,43.36903,'-8.392526
A Coruña,43.369034,'-8.39051
A Coruña,43.369034,'-8.392638
A Coruña,43.369034,'-8.392646
A Coruña,43.369038,'-8.39051
A Coruña,43.369038,'-8.392639
A Coruña,43.369045,'-8.392069
A Coruña,43.369045,'-8.392075
A Coruña,43.369045,'-8.392081
A Coruña,43.369045,'-8.392187
A Coruña,43.369045,'-8.39226
A Coruña,43.369045,'-8.392397
A Coruña,43.369045,'-8.392413
A Coruña,43.369045,'-8.3924265
A Coruña,43.369045,'-8.393026
A Coruña,43.369045,'-8.393372
A Coruña,43.369045,'-8.394726
A Coruña,43.36905,'-8.393029
A Coruña,43.36905,'-8.393031
A Coruña,43.369057,'-8.393036
A Coruña,43.369072,'-8.392956
A Coruña,43.369076,'-8.398315
A Coruña,43.36908,'-8.391704
A Coruña,43.36908,'-8.394948
A Coruña,43.369083,'-8.391712
A Coruña,43.369083,'-8.391715
A Coruña,43.369087,'-8.394754
A Coruña,43.36909,'-8.392894
A Coruña,43.36911,'-8.390497
A Coruña,43.36911,'-8.39284
A Coruña,43.369118,'-8.39281
A Coruña,43.36912,'-8.392778
A Coruña,43.36913,'-8.392746
A Coruña,43.369133,'-8.392697
A Coruña,43.36914,'-8.392592
A Coruña,43.36914,'-8.392612
A Coruña,43.369144,'-8.391824
A Coruña,43.369144,'-8.391832
A Coruña,43.369144,'-8.391856
A Coruña,43.369144,'-8.392546
A Coruña,43.369144,'-8.394987
A Coruña,43.36915,'-8.391856
A Coruña,43.36915,'-8.391926
A Coruña,43.36915,'-8.392508
A Coruña,43.369152,'-8.392162
A Coruña,43.369152,'-8.392197
A Coruña,43.369152,'-8.392207
A Coruña,43.369152,'-8.392307
A Coruña,43.369156,'-8.392489
A Coruña,43.369156,'-8.3925085
A Coruña,43.369175,'-8.394814
A Coruña,43.369213,'-8.390481
A Coruña,43.369213,'-8.398303
A Coruña,43.36924,'-8.390476
A Coruña,43.369263,'-8.394867
A Coruña,43.369263,'-8.395056
A Coruña,43.369267,'-8.390472
A Coruña,43.369278,'-8.395065
A Coruña,43.36931,'-8.398294
A Coruña,43.369316,'-8.390465
